#IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	sample	pop	super_pop	gender
HG00096	-0.0110418	0.0272767	0.0121115	0.0171276	0.00310711	-0.00526657	-0.00189425	-0.0197173	-0.0100446	0.0140703	HG00096	GBR	EUR	male
HG00097	-0.0108799	0.0266899	0.0104567	0.0168424	0.000796671	-0.00677175	-0.00729407	-0.0319511	-0.00876399	0.00599546	HG00097	GBR	EUR	female
HG00099	-0.0111621	0.0268861	0.0116561	0.0155416	0.00125105	-0.00707447	-0.00584075	-0.0345799	-0.00945115	0.010623	HG00099	GBR	EUR	female
HG00100	-0.0107257	0.0270649	0.0122997	0.0184257	0.00180576	-0.00512565	0.00206979	-0.00260641	-2.40831e-05	0.0152623	HG00100	GBR	EUR	female
HG00101	-0.0110317	0.0270445	0.0123859	0.0166564	-0.000743439	-0.00633161	-0.00244858	-0.0293227	-0.00665304	0.0103528	HG00101	GBR	EUR	male
HG00102	-0.0113735	0.0267517	0.0110891	0.0173035	0.00201565	-0.00686963	-0.000572895	-0.0281493	-0.00459719	0.0072481	HG00102	GBR	EUR	female
HG00103	-0.0110441	0.0266281	0.0116673	0.017276	0.00311542	-0.00456788	-0.00508977	-0.0222301	-0.0111996	0.016842	HG00103	GBR	EUR	male
HG00105	-0.0109909	0.0265707	0.0115467	0.0171837	-0.000502131	-0.0059338	-0.00672796	-0.0280414	-0.0087572	0.010129	HG00105	GBR	EUR	male
HG00106	-0.0112033	0.0272257	0.0108769	0.0160546	-0.00372333	-0.00584228	-0.0052409	-0.0257622	-0.00848748	0.00711247	HG00106	GBR	EUR	female
HG00107	-0.0112181	0.0264524	0.0116589	0.0161971	0.000680089	-0.00394808	-0.00225706	-0.0282588	-0.00710208	0.00742841	HG00107	GBR	EUR	male
HG00108	-0.0112036	0.0266513	0.0130803	0.0192225	-0.00440342	0.0100456	0.024751	0.00426999	0.00239269	-0.0114703	HG00108	GBR	EUR	male
HG00109	-0.0111997	0.026841	0.0127856	0.0200042	-0.00475599	0.00832233	0.0120754	-0.000533794	-0.000188793	-0.0170275	HG00109	GBR	EUR	male
HG00110	-0.0114015	0.0262826	0.0122524	0.0187928	-0.00522998	0.0086841	0.0183995	-0.00202171	-0.00244678	-0.0134031	HG00110	GBR	EUR	female
HG00111	-0.0112884	0.0264599	0.0123051	0.0183843	0.000348973	0.0128191	0.0297388	0.0074041	0.00663781	-0.00935861	HG00111	GBR	EUR	female
HG00112	-0.0113443	0.0265353	0.0110988	0.0174528	3.03146e-05	-0.00131702	0.00339048	-0.0230308	-0.00137374	-0.00195506	HG00112	GBR	EUR	male
HG00113	-0.0111944	0.0263066	0.0128785	0.0197104	-0.00378803	0.0108154	0.0206518	0.00834708	0.000871365	-0.0227133	HG00113	GBR	EUR	male
HG00114	-0.0111339	0.0266611	0.0120108	0.0173334	0.00284402	-0.0055546	0.000529321	-0.0225052	-0.0040651	0.00280549	HG00114	GBR	EUR	male
HG00115	-0.0108923	0.0270434	0.0108818	0.0178739	-0.00357241	-0.0056374	-0.00301815	-0.0261718	-0.00618175	-0.00950904	HG00115	GBR	EUR	male
HG00116	-0.0113675	0.0268611	0.0127557	0.0196988	0.00670689	0.00378753	0.0173643	0.00845024	0.00052641	0.0355704	HG00116	GBR	EUR	male
HG00117	-0.0113946	0.0264594	0.0134077	0.0182602	0.00727797	0.00115774	0.0153209	0.00685966	0.00274063	0.0364279	HG00117	GBR	EUR	male
HG00118	-0.0108328	0.0269374	0.0109678	0.0156437	-0.00433081	-0.00805338	-0.00683919	-0.0316338	-0.0073344	-0.00111477	HG00118	GBR	EUR	female
HG00119	-0.0110671	0.0265378	0.0138328	0.0194448	0.00772909	0.00753393	0.0244852	0.0147887	0.00543209	0.0227525	HG00119	GBR	EUR	male
HG00120	-0.0111881	0.027138	0.0125516	0.0189351	0.0073173	0.000962347	0.0140614	0.00793624	-2.42747e-05	0.032612	HG00120	GBR	EUR	female
HG00121	-0.011283	0.0265812	0.0126057	0.0189892	-0.00181646	0.00992516	0.0238144	0.00452755	0.00392746	-0.0155875	HG00121	GBR	EUR	female
HG00122	-0.0112737	0.0270863	0.011131	0.0169089	-0.00152428	-0.00687682	-0.00225991	-0.0233619	-0.00662864	-0.00173575	HG00122	GBR	EUR	female
HG00123	-0.011012	0.0269694	0.012593	0.0177262	0.0076958	0.00586371	0.0206903	0.0123978	0.00727024	0.0289295	HG00123	GBR	EUR	female
HG00125	-0.0114964	0.0264788	0.0136727	0.0186253	0.00169231	0.0118779	0.0250001	0.00703809	0.00526622	-0.00112195	HG00125	GBR	EUR	female
HG00126	-0.0110511	0.0277133	0.0106287	0.0175215	-0.00138757	-0.00615508	-0.00660228	-0.0221333	-0.00330955	-0.00387373	HG00126	GBR	EUR	male
