#IID	ALLELE_CT	NAMED_ALLELE_DOSAGE_SUM	Beta_AVG	Beta_SUM	sample	pop	super_pop	gender	PRS_Z
HG00096	7300	3261	-0.00876173	-63.9606	HG00096	GBR	EUR	male	-0.2841562068804658
HG00097	7300	3249	-0.00886251	-64.6963	HG00097	GBR	EUR	female	-0.7981431651872025
HG00099	7300	3256	-0.00854029	-62.3441	HG00099	GBR	EUR	female	0.8451898826979596
HG00100	7300	3261	-0.00875629	-63.9209	HG00100	GBR	EUR	female	-0.25642033322982594
HG00101	7300	3275	-0.0086297	-62.9968	HG00101	GBR	EUR	male	0.38918976350968826
HG00102	7300	3233	-0.00885374	-64.6323	HG00102	GBR	EUR	female	-0.7534304217705547
HG00103	7300	3253	-0.00898038	-65.5568	HG00103	GBR	EUR	male	-1.3993199731564174
HG00105	7300	3270	-0.00854225	-62.3584	HG00105	GBR	EUR	male	0.8351993790907972
HG00106	7300	3292	-0.0087311	-63.737	HG00106	GBR	EUR	female	-0.127941059568537
HG00107	7300	3194	-0.00890763	-65.0257	HG00107	GBR	EUR	male	-1.0282740664597918
HG00108	7300	3316	-0.00861933	-62.9211	HG00108	GBR	EUR	male	0.44207655533219614
HG00109	7300	3266	-0.00863221	-63.0151	HG00109	GBR	EUR	male	0.3764047134389916
HG00110	7300	3305	-0.0088207	-64.3911	HG00110	GBR	EUR	female	-0.5849192700190403
HG00111	7300	3288	-0.00864558	-63.1127	HG00111	GBR	EUR	female	0.30821777972859626
HG00112	7300	3286	-0.00871348	-63.6084	HG00112	GBR	EUR	male	-0.03809639076570132
HG00113	7300	3281	-0.00877593	-64.0643	HG00113	GBR	EUR	male	-0.35660482394776327
HG00114	7300	3278	-0.00877985	-64.0929	HG00114	GBR	EUR	male	-0.3765858311620781
HG00115	7300	3282	-0.00862818	-62.9857	HG00115	GBR	EUR	male	0.39694462994601326
HG00116	7300	3252	-0.00889879	-64.9612	HG00116	GBR	EUR	male	-0.9832120047351997
HG00117	7300	3272	-0.0083634	-61.0528	HG00117	GBR	EUR	male	1.7473393447905166
HG00118	7300	3299	-0.00848092	-61.9107	HG00118	GBR	EUR	female	1.147978992022604
HG00119	7300	3239	-0.00860895	-62.8453	HG00119	GBR	EUR	male	0.4950332108162949
HG00120	7300	3288	-0.00902458	-65.8794	HG00120	GBR	EUR	female	-1.6247001454409884
HG00121	7300	3311	-0.008404	-61.3492	HG00121	GBR	EUR	female	1.5402634518421399
HG00122	7300	3217	-0.00876751	-64.0028	HG00122	GBR	EUR	female	-0.31363867207081697
HG00123	7300	3248	-0.00890251	-64.9883	HG00123	GBR	EUR	female	-1.0021450570256818
HG00125	7300	3246	-0.00869349	-63.4625	HG00125	GBR	EUR	female	0.0638346914919524
HG00126	7300	3282	-0.00869132	-63.4466	HG00126	GBR	EUR	male	0.07494301368452846
HG00127	7300	3271	-0.00858949	-62.7033	HG00127	GBR	EUR	female	0.5942396102719952
HG00128	7300	3248	-0.00872812	-63.7153	HG00128	GBR	EUR	female	-0.11278064500382629
HG00129	7300	3278	-0.00869275	-63.4571	HG00129	GBR	EUR	male	0.0676073292177336
HG00130	7300	3280	-0.00896499	-65.4444	HG00130	GBR	EUR	female	-1.3207932175309254
HG00131	7300	3211	-0.00881182	-64.3263	HG00131	GBR	EUR	male	-0.5396476173096857
HG00132	7300	3226	-0.00847771	-61.8873	HG00132	GBR	EUR	female	1.1643270888343142
HG00133	7300	3277	-0.00834486	-60.9175	HG00133	GBR	EUR	female	1.8418648789197847
HG00136	7300	3250	-0.00849614	-62.0218	HG00136	GBR	EUR	male	1.0703604639977582
HG00137	7300	3275	-0.00863737	-63.0528	HG00137	GBR	EUR	female	0.3500661130201189
HG00138	7300	3271	-0.00886605	-64.7222	HG00138	GBR	EUR	male	-0.8162378535386342
HG00139	7300	3250	-0.0087246	-63.6896	HG00139	GBR	EUR	male	-0.09482568397557632
HG00140	7300	3273	-0.00849016	-61.9782	HG00140	GBR	EUR	male	1.1008210204503512
HG00141	7300	3266	-0.00858008	-62.6346	HG00141	GBR	EUR	male	0.6422359457833082
HG00142	7300	3281	-0.00852258	-62.2148	HG00142	GBR	EUR	male	0.9355235971319162
HG00143	7300	3265	-0.00879407	-64.1967	HG00143	GBR	EUR	male	-0.44910431189096645
HG00145	7300	3240	-0.00896885	-65.4726	HG00145	GBR	EUR	male	-1.3404947700988867
HG00146	7300	3254	-0.00858241	-62.6516	HG00146	GBR	EUR	female	0.6303591233132577
HG00148	7300	3268	-0.00875021	-63.8765	HG00148	GBR	EUR	male	-0.22540086748452096
HG00149	7300	3262	-0.00893111	-65.1971	HG00149	GBR	EUR	male	-1.1480203824225188
HG00150	7300	3264	-0.00886868	-64.7414	HG00150	GBR	EUR	female	-0.8296516765636285
HG00151	7300	3233	-0.00878844	-64.1556	HG00151	GBR	EUR	male	-0.4203903469780847
HG00154	7300	3270	-0.00869711	-63.4889	HG00154	GBR	EUR	female	0.04539068483258145
HG00155	7300	3245	-0.00887026	-64.7529	HG00155	GBR	EUR	male	-0.8376859976463069
HG00157	7300	3265	-0.0087504	-63.8779	HG00157	GBR	EUR	male	-0.22637895874675795
